company,name,model,link_x_x,size,link_y_x,link_x_y,freq,link_y_y
Adata,Adata AX4U300038G16A-ST41 Desktop Ram XPG Spectrix D41 Series 8GB (8GBX1) DDR4 3000MHz RGB,AX4U300038G16A-ST41 ,pcpricetracker.in/gen/products/b5f3d7c6e8dc0b24b7da3f0beb97d38a,8GB ,pcpricetracker.in/gen/products/b5f3d7c6e8dc0b24b7da3f0beb97d38a,pcpricetracker.in/gen/products/b5f3d7c6e8dc0b24b7da3f0beb97d38a,3000MHz ,pcpricetracker.in/gen/products/b5f3d7c6e8dc0b24b7da3f0beb97d38a
Adata,ADATA XPG SPECTRIX D50 Series 8GB (8GBx1) DDR4 3000MHz RGB,,pcpricetracker.in/gen/products/b7c042538ff959688bee22b535637998,8GB ,pcpricetracker.in/gen/products/b7c042538ff959688bee22b535637998,pcpricetracker.in/gen/products/b7c042538ff959688bee22b535637998,3000MHz ,pcpricetracker.in/gen/products/b7c042538ff959688bee22b535637998
Adata,ADATA AX4U300038G16A-ST60 Desktop Ram XPG SPECTRIX D60G Series 8GB (8GBx1) DDR4 3000MHz RGB,AX4U300038G16A-ST60 ,pcpricetracker.in/gen/products/c624deb9bde6fd73e52314a89909cc4a,8GB ,pcpricetracker.in/gen/products/c624deb9bde6fd73e52314a89909cc4a,pcpricetracker.in/gen/products/c624deb9bde6fd73e52314a89909cc4a,3000MHz ,pcpricetracker.in/gen/products/c624deb9bde6fd73e52314a89909cc4a
Adata,ADATA XPG SPECTRIX D80 16GB (8GBX2) DDR4 3000MHZ RGB  LIQUID COOLING BLACK EDITION RAM (AX4U300038G16-DB80),AX4U300038G16-DB80,pcpricetracker.in/gen/products/fca6de8113a78adc13eac5906ab7e65e,16GB ,pcpricetracker.in/gen/products/fca6de8113a78adc13eac5906ab7e65e,pcpricetracker.in/gen/products/fca6de8113a78adc13eac5906ab7e65e,3000MHZ ,pcpricetracker.in/gen/products/fca6de8113a78adc13eac5906ab7e65e
Adata,ADATA XPG SPECTRIX D80 8GB (8GBX1) DDR4 3000MHZ RGB LIQUID COOLING BLACK EDITION RAM (AX4U300038G16-SB80),AX4U300038G16-SB80,pcpricetracker.in/gen/products/5d64f1c72f12bd1d1de1f84548e2fd42,8GB ,pcpricetracker.in/gen/products/5d64f1c72f12bd1d1de1f84548e2fd42,pcpricetracker.in/gen/products/5d64f1c72f12bd1d1de1f84548e2fd42,3000MHZ ,pcpricetracker.in/gen/products/5d64f1c72f12bd1d1de1f84548e2fd42
Adata,ADATA XPG SPECTRIX D41 8GB (8GBX1) DDR4 RGB 3000MHZ RAM (AX4U300038G16-SR41),AX4U300038G16-SR41,pcpricetracker.in/gen/products/5ec200294a4515f6cf4d46eadcf71c04,8GB ,pcpricetracker.in/gen/products/5ec200294a4515f6cf4d46eadcf71c04,pcpricetracker.in/gen/products/5ec200294a4515f6cf4d46eadcf71c04,3000MHZ ,pcpricetracker.in/gen/products/5ec200294a4515f6cf4d46eadcf71c04
Adata,ADATA AX4U3000716G16A-DT50 Desktop Ram XPG SPECTRIX D50 Series 32GB (16GBx2) DDR4 3000MHz RGB,AX4U3000716G16A-DT50 ,pcpricetracker.in/gen/products/532135c612334ea602975fbd9f8bac19,32GB ,pcpricetracker.in/gen/products/532135c612334ea602975fbd9f8bac19,pcpricetracker.in/gen/products/532135c612334ea602975fbd9f8bac19,3000MHz ,pcpricetracker.in/gen/products/532135c612334ea602975fbd9f8bac19
Adata,Adata AX4U3000716G16A-SR10 Desktop Ram XPG GAMMIX D10 Series 16GB (16GBx1) DDR4 3000MHz Red,AX4U3000716G16A-SR10 ,pcpricetracker.in/gen/products/2ed298697f64892377b04029fa11f52d,16GB ,pcpricetracker.in/gen/products/2ed298697f64892377b04029fa11f52d,pcpricetracker.in/gen/products/2ed298697f64892377b04029fa11f52d,3000MHz ,pcpricetracker.in/gen/products/2ed298697f64892377b04029fa11f52d
Adata,ADATA AX4U3000716G16A-SR30 Desktop Ram XPG Gammix D30 Series 16GB (16GBx1) DDR4 3000MHz Red,AX4U3000716G16A-SR30 ,pcpricetracker.in/gen/products/6407ebd71ac915d5cf77bf7b6dafede1,16GB ,pcpricetracker.in/gen/products/6407ebd71ac915d5cf77bf7b6dafede1,pcpricetracker.in/gen/products/6407ebd71ac915d5cf77bf7b6dafede1,3000MHz ,pcpricetracker.in/gen/products/6407ebd71ac915d5cf77bf7b6dafede1
Adata,ADATA XPG SPECTRIX D50 16GB (16GBX1) DDR4 RGB 3000MHz,,pcpricetracker.in/gen/products/dfcf5485d7e895f90d9ca2ebe4485621,16GB ,pcpricetracker.in/gen/products/dfcf5485d7e895f90d9ca2ebe4485621,pcpricetracker.in/gen/products/dfcf5485d7e895f90d9ca2ebe4485621,3000MHz,pcpricetracker.in/gen/products/dfcf5485d7e895f90d9ca2ebe4485621
Adata,ADATA XPG SPECTRIX D41 16GB (16GBX1) DDR4 RGB 3200MHZ,,pcpricetracker.in/gen/products/4f766dd65a37b5e3485f1c7a4ce233b8,16GB ,pcpricetracker.in/gen/products/4f766dd65a37b5e3485f1c7a4ce233b8,pcpricetracker.in/gen/products/4f766dd65a37b5e3485f1c7a4ce233b8,3200MHZ,pcpricetracker.in/gen/products/4f766dd65a37b5e3485f1c7a4ce233b8
Adata,Adata AX4U3200316G16A-ST60 Desktop Ram XPG Spectrix D60G Series 16GB (16GBx1) DDR4 3200MHz RGB,AX4U3200316G16A-ST60 ,pcpricetracker.in/gen/products/e4be527153a0670f307025eb586ceafe,16GB ,pcpricetracker.in/gen/products/e4be527153a0670f307025eb586ceafe,pcpricetracker.in/gen/products/e4be527153a0670f307025eb586ceafe,3200MHz ,pcpricetracker.in/gen/products/e4be527153a0670f307025eb586ceafe
Adata,ADATA AX4U3200316G16-DB30 Desktop Ram XPG GAMMIX D30 Series 32GB (16GBx2) DDR4 3200MHz Black,AX4U3200316G16-DB30 ,pcpricetracker.in/gen/products/0d044819a024fa398db186f6790c1b51,32GB ,pcpricetracker.in/gen/products/0d044819a024fa398db186f6790c1b51,pcpricetracker.in/gen/products/0d044819a024fa398db186f6790c1b51,3200MHz ,pcpricetracker.in/gen/products/0d044819a024fa398db186f6790c1b51
Adata,ADATA XPG GAMMIX D30 16GB (16GBX1) DDR4 3200MHZ RAM (AX4U3200316G16-SR30),AX4U3200316G16-SR30,pcpricetracker.in/gen/products/c727ee3181958a486714fe7ff41a3da3,16GB ,pcpricetracker.in/gen/products/c727ee3181958a486714fe7ff41a3da3,pcpricetracker.in/gen/products/c727ee3181958a486714fe7ff41a3da3,3200MHZ ,pcpricetracker.in/gen/products/c727ee3181958a486714fe7ff41a3da3
Adata,ADATA XPG SPECTRIX D41 16GB (16GBX1) DDR4 RGB 3200MHZ RAM (AX4U3200316G16-SR41),AX4U3200316G16-SR41,pcpricetracker.in/gen/products/7fedfc46270aa7a8a81747a7363f6941,16GB ,pcpricetracker.in/gen/products/7fedfc46270aa7a8a81747a7363f6941,pcpricetracker.in/gen/products/7fedfc46270aa7a8a81747a7363f6941,3200MHZ ,pcpricetracker.in/gen/products/7fedfc46270aa7a8a81747a7363f6941
Adata,ADATA AX4U320038G16A-DB80 Desktop Ram XPG SPECTRIX D80 Series 16GB (8GBx2) DDR4 3200MHz RGB Hybrid Liquid Air Cooling,AX4U320038G16A-DB80 ,pcpricetracker.in/gen/products/aee475a5127b6d3cd04deaa98737bf25,16GB ,pcpricetracker.in/gen/products/aee475a5127b6d3cd04deaa98737bf25,pcpricetracker.in/gen/products/aee475a5127b6d3cd04deaa98737bf25,3200MHz ,pcpricetracker.in/gen/products/aee475a5127b6d3cd04deaa98737bf25
Adata,ADATA AX4U320038G16A-DR30 Desktop Ram XPG GAMMIX D30 Series 16GB (8GBx2) DDR4 3200MHz Red,AX4U320038G16A-DR30 ,pcpricetracker.in/gen/products/182a85bc846e87077d4fa0d39c267cf6,16GB ,pcpricetracker.in/gen/products/182a85bc846e87077d4fa0d39c267cf6,pcpricetracker.in/gen/products/182a85bc846e87077d4fa0d39c267cf6,3200MHz ,pcpricetracker.in/gen/products/182a85bc846e87077d4fa0d39c267cf6
Adata,Adata XPG Spectrix D60G 16GB (8GB x 2) 3200MHz DDR4 RGB White Memory AX4U320038G16A-DW60,AX4U320038G16A-DW60,pcpricetracker.in/gen/products/d16a20b9e50e088fe3b69c85d3921e22,16GB ,pcpricetracker.in/gen/products/d16a20b9e50e088fe3b69c85d3921e22,pcpricetracker.in/gen/products/d16a20b9e50e088fe3b69c85d3921e22,3200MHz ,pcpricetracker.in/gen/products/d16a20b9e50e088fe3b69c85d3921e22
Adata,Adata AX4U320038G16A-SR10 Desktop Ram XPG GAMMIX D10 Series 8GB (8GBx1) DDR4 3200MHz Red,AX4U320038G16A-SR10 ,pcpricetracker.in/gen/products/30a7f14a7a361b59bcb922afb0374432,8GB ,pcpricetracker.in/gen/products/30a7f14a7a361b59bcb922afb0374432,pcpricetracker.in/gen/products/30a7f14a7a361b59bcb922afb0374432,3200MHz ,pcpricetracker.in/gen/products/30a7f14a7a361b59bcb922afb0374432
Adata,Adata AX4U320038G16A-SR30 Desktop Ram XPG Gammix D30 Series 8GB (8GBX1) DDR4 3200MHz Red,AX4U320038G16A-SR30 ,pcpricetracker.in/gen/products/d3626739c60714bad8dbf57f2ac590ff,8GB ,pcpricetracker.in/gen/products/d3626739c60714bad8dbf57f2ac590ff,pcpricetracker.in/gen/products/d3626739c60714bad8dbf57f2ac590ff,3200MHz ,pcpricetracker.in/gen/products/d3626739c60714bad8dbf57f2ac590ff
Adata,ADATA XPG Spectrix D41 RGB 8GB 3200MHz PC4-24000 DDR4 Desktop U-DIMM Black Memory AX4U320038G16A-ST41,AX4U320038G16A-ST41,pcpricetracker.in/gen/products/eff797e7d608c213fa8146c74e454b4d,8GB ,pcpricetracker.in/gen/products/eff797e7d608c213fa8146c74e454b4d,pcpricetracker.in/gen/products/eff797e7d608c213fa8146c74e454b4d,3200MHz ,pcpricetracker.in/gen/products/eff797e7d608c213fa8146c74e454b4d
Adata,ADATA XPG SPECTRIX D50 Series 8GB (8GBx1) DDR4 3200MHz RGB,,pcpricetracker.in/gen/products/3e44b26312fd22ba93044ce06dd572ab,8GB ,pcpricetracker.in/gen/products/3e44b26312fd22ba93044ce06dd572ab,pcpricetracker.in/gen/products/3e44b26312fd22ba93044ce06dd572ab,3200MHz ,pcpricetracker.in/gen/products/3e44b26312fd22ba93044ce06dd572ab
Adata,ADATA XPG SPECTRIX D60G 8GB (8GBx1) DDR4 RGB 3200MHZ (AX4U320038G16A-ST60) RAM,AX4U320038G16A-ST60,pcpricetracker.in/gen/products/ea1abfef6c06d1e5c3def1769dfcc036,8GB ,pcpricetracker.in/gen/products/ea1abfef6c06d1e5c3def1769dfcc036,pcpricetracker.in/gen/products/ea1abfef6c06d1e5c3def1769dfcc036,3200MHZ ,pcpricetracker.in/gen/products/ea1abfef6c06d1e5c3def1769dfcc036
Adata,Adata AX4U320038G16-DB41 Desktop Ram XPG Spectrix D41 x TUF Gaming Series 16GB (8GBX2) DDR4 3200MHz RGB,AX4U320038G16-DB41 ,pcpricetracker.in/gen/products/620303932f26904de88bdf843f2e67bf,16GB ,pcpricetracker.in/gen/products/620303932f26904de88bdf843f2e67bf,pcpricetracker.in/gen/products/620303932f26904de88bdf843f2e67bf,3200MHz ,pcpricetracker.in/gen/products/620303932f26904de88bdf843f2e67bf
Adata,Adata AX4U320038G16-DB80 Desktop Ram XPG Spectrix D80 Series 16GB (8GBX2) DDR4 3200MHz RGB Hybrid Liquid Air Cooling,AX4U320038G16-DB80 ,pcpricetracker.in/gen/products/6e53b2782e8248dc03559fc674917824,16GB ,pcpricetracker.in/gen/products/6e53b2782e8248dc03559fc674917824,pcpricetracker.in/gen/products/6e53b2782e8248dc03559fc674917824,3200MHz ,pcpricetracker.in/gen/products/6e53b2782e8248dc03559fc674917824
Adata,ADATA XPG SPECTRIX D60G DDR4 16GB (8GBx2) DDR4 RGB 3200MHZ RAM (AX4U320038G16-DT60),AX4U320038G16-DT60,pcpricetracker.in/gen/products/b5a9407d6944b48b96f916490e4221de,16GB ,pcpricetracker.in/gen/products/b5a9407d6944b48b96f916490e4221de,pcpricetracker.in/gen/products/b5a9407d6944b48b96f916490e4221de,3200MHZ ,pcpricetracker.in/gen/products/b5a9407d6944b48b96f916490e4221de
Adata,ADATA XPG Gammix D30 Series 8GB (8GBX1) DDR4 3200MHz Memory AX4U320038G16-SR30,AX4U320038G16-SR30,pcpricetracker.in/gen/products/3fce4660c82c00ab18a2591bdad27813,8GB ,pcpricetracker.in/gen/products/3fce4660c82c00ab18a2591bdad27813,pcpricetracker.in/gen/products/3fce4660c82c00ab18a2591bdad27813,3200MHz ,pcpricetracker.in/gen/products/3fce4660c82c00ab18a2591bdad27813
Adata,ADATA XPG SPECTRIX D41 8GB (8GBX1) DDR4 RGB 3200MHZ RAM (AX4U320038G16-SR41),AX4U320038G16-SR41,pcpricetracker.in/gen/products/ab3fb14eaf76623eeaafb116610c9216,8GB ,pcpricetracker.in/gen/products/ab3fb14eaf76623eeaafb116610c9216,pcpricetracker.in/gen/products/ab3fb14eaf76623eeaafb116610c9216,3200MHZ ,pcpricetracker.in/gen/products/ab3fb14eaf76623eeaafb116610c9216
Adata,ADATA AX4U3200716G16A-SR30 Desktop Ram XPG GAMMIX D30 Series 16GB (16GBx1) DDR4 3200MHz Red,AX4U3200716G16A-SR30 ,pcpricetracker.in/gen/products/27ca7c7c39b66849bb01cd00eba41db1,16GB ,pcpricetracker.in/gen/products/27ca7c7c39b66849bb01cd00eba41db1,pcpricetracker.in/gen/products/27ca7c7c39b66849bb01cd00eba41db1,3200MHz ,pcpricetracker.in/gen/products/27ca7c7c39b66849bb01cd00eba41db1
Adata,ADATA AX4U3200716G16A-ST50 Desktop Ram XPG SPECTRIX D50 Series 16GB (16GBx1) DDR4 3200MHz RGB,AX4U3200716G16A-ST50 ,pcpricetracker.in/gen/products/88b03de56d980b5e61c15c6a0e78675d,16GB ,pcpricetracker.in/gen/products/88b03de56d980b5e61c15c6a0e78675d,pcpricetracker.in/gen/products/88b03de56d980b5e61c15c6a0e78675d,3200MHz ,pcpricetracker.in/gen/products/88b03de56d980b5e61c15c6a0e78675d
Adata,ADATA AX4U3200732G16A-ST50 Desktop Ram XPG SPECTRIX D50 Series 32GB (32GBx1) DDR4 3200MHz RGB,AX4U3200732G16A-ST50 ,pcpricetracker.in/gen/products/12dfc5e0835038b3c19409685e7212a6,32GB ,pcpricetracker.in/gen/products/12dfc5e0835038b3c19409685e7212a6,pcpricetracker.in/gen/products/12dfc5e0835038b3c19409685e7212a6,3200MHz ,pcpricetracker.in/gen/products/12dfc5e0835038b3c19409685e7212a6
Adata,ADATA AX4U3600316G18A-ST50 Desktop Ram XPG SPECTRIX D50 Series 16GB (16GBx1) DDR4 3600MHz RGB,AX4U3600316G18A-ST50 ,pcpricetracker.in/gen/products/cc7b02d9ebc9b74e308cc856c012d19e,16GB ,pcpricetracker.in/gen/products/cc7b02d9ebc9b74e308cc856c012d19e,pcpricetracker.in/gen/products/cc7b02d9ebc9b74e308cc856c012d19e,3600MHz ,pcpricetracker.in/gen/products/cc7b02d9ebc9b74e308cc856c012d19e
Adata,ADATA XPG SPECTRIX D60G 16GB (16GBX1) DDR4 3600MHZ RGB RAM,AX4U3600316G18A-ST60,pcpricetracker.in/gen/products/42bd499b95d1d5c5cecc3f8b177e8964,16GB ,pcpricetracker.in/gen/products/42bd499b95d1d5c5cecc3f8b177e8964,pcpricetracker.in/gen/products/42bd499b95d1d5c5cecc3f8b177e8964,3600MHZ ,pcpricetracker.in/gen/products/42bd499b95d1d5c5cecc3f8b177e8964
Adata,ADATA XPG SPECTRIX D41 8GB (8GBX1) DDR4 RGB 3600MHZ RAM (AX4U360038G17-SR41),AX4U360038G17-SR41,pcpricetracker.in/gen/products/2effee5f35ae94c001702b51b581e0a8,8GB ,pcpricetracker.in/gen/products/2effee5f35ae94c001702b51b581e0a8,pcpricetracker.in/gen/products/2effee5f35ae94c001702b51b581e0a8,3600MHZ ,pcpricetracker.in/gen/products/2effee5f35ae94c001702b51b581e0a8
Adata,ADATA XPG SPECTRIX D60G 16GB (8GBX2) DDR4 RGB 3600MHZ RAM (AX4U360038G18A-DT60),AX4U360038G18A-DT60,pcpricetracker.in/gen/products/808f30bb53cd4e11dcad0c63d3bc7164,16GB ,pcpricetracker.in/gen/products/808f30bb53cd4e11dcad0c63d3bc7164,pcpricetracker.in/gen/products/808f30bb53cd4e11dcad0c63d3bc7164,3600MHZ ,pcpricetracker.in/gen/products/808f30bb53cd4e11dcad0c63d3bc7164
Adata,Adata AX4U360038G18A-SR30 Desktop Ram XPG Gammix D30 Series 8GB (8GBX1) DDR4 3600MHz Red,AX4U360038G18A-SR30 ,pcpricetracker.in/gen/products/0e8797bed401eacf52fa14852617beb3,8GB ,pcpricetracker.in/gen/products/0e8797bed401eacf52fa14852617beb3,pcpricetracker.in/gen/products/0e8797bed401eacf52fa14852617beb3,3600MHz ,pcpricetracker.in/gen/products/0e8797bed401eacf52fa14852617beb3
Adata,ADATA AX4U360038G18A-ST50 Desktop Ram XPG SPECTRIX D50 Series 8GB (8GBx1) DDR4 3600MHz RGB,AX4U360038G18A-ST50 ,pcpricetracker.in/gen/products/2f5fab6efc2dfb59abc2e5fa1f83aeb8,8GB ,pcpricetracker.in/gen/products/2f5fab6efc2dfb59abc2e5fa1f83aeb8,pcpricetracker.in/gen/products/2f5fab6efc2dfb59abc2e5fa1f83aeb8,3600MHz ,pcpricetracker.in/gen/products/2f5fab6efc2dfb59abc2e5fa1f83aeb8
Adata,ADATA AX4U360038G18A-ST60 Desktop Ram XPG SPECTRIX D60G Series 8GB (8GBx1) DDR4 3600MHz RGB,AX4U360038G18A-ST60 ,pcpricetracker.in/gen/products/22660210401d350a00e6a94f0a7d6678,8GB ,pcpricetracker.in/gen/products/22660210401d350a00e6a94f0a7d6678,pcpricetracker.in/gen/products/22660210401d350a00e6a94f0a7d6678,3600MHz ,pcpricetracker.in/gen/products/22660210401d350a00e6a94f0a7d6678
Adata,Adata XPG Spectrix D41 16GB (8GBx2) 4133Mhz RGB Memory AX4U413338G19-DR41 (Red),AX4U413338G19-DR41 ,pcpricetracker.in/gen/products/8e04efd2b6f39ee8ca04f32fa6e1c935,16GB ,pcpricetracker.in/gen/products/8e04efd2b6f39ee8ca04f32fa6e1c935,pcpricetracker.in/gen/products/8e04efd2b6f39ee8ca04f32fa6e1c935,4133Mhz ,pcpricetracker.in/gen/products/8e04efd2b6f39ee8ca04f32fa6e1c935
Crucial,Crucial Ballistix 16GB Kit (2 x 8GB) DDR4 3000mhz Desktop Gaming Memory Black BL2K8G30C15U4B,BL2K8G30C15U4B,pcpricetracker.in/gen/products/9162550e9940c2a54b5f090e5904bcc7,16GB ,pcpricetracker.in/gen/products/9162550e9940c2a54b5f090e5904bcc7,pcpricetracker.in/gen/products/9162550e9940c2a54b5f090e5904bcc7,3000mhz ,pcpricetracker.in/gen/products/9162550e9940c2a54b5f090e5904bcc7
Crucial,Crucial Ballistix Sport LT 16GB 3200 MHz DDR4 White Desktop Gaming Memory BLS16G4D32AESC,BLS16G4D32AESC,pcpricetracker.in/gen/products/e1c2c4399cf06f15ae40f4cb4449ffc6,16GB ,pcpricetracker.in/gen/products/e1c2c4399cf06f15ae40f4cb4449ffc6,pcpricetracker.in/gen/products/e1c2c4399cf06f15ae40f4cb4449ffc6,3200 MHz ,pcpricetracker.in/gen/products/e1c2c4399cf06f15ae40f4cb4449ffc6
Crucial,Crucial Ballistix Sport LT 8GB 2666 MHz DDR4 Red Desktop Gaming Memory BLS8G4D26BFSEK,BLS8G4D26BFSEK,pcpricetracker.in/gen/products/e6209d9710907ba95947ce4ede757f02,8GB ,pcpricetracker.in/gen/products/e6209d9710907ba95947ce4ede757f02,pcpricetracker.in/gen/products/e6209d9710907ba95947ce4ede757f02,2666 MHz ,pcpricetracker.in/gen/products/e6209d9710907ba95947ce4ede757f02
Crucial,Crucial Ballistix Sport LT 8GB 3200 MHz DDR4 Grey Desktop Gaming Memory BLS8G4D32AESBK,BLS8G4D32AESBK,pcpricetracker.in/gen/products/293e14a33e64b454926817b95344be63,8GB ,pcpricetracker.in/gen/products/293e14a33e64b454926817b95344be63,pcpricetracker.in/gen/products/293e14a33e64b454926817b95344be63,3200 MHz ,pcpricetracker.in/gen/products/293e14a33e64b454926817b95344be63
Crucial,Crucial 16GB 2666MHz DDR4 SODIMM 260 Pin Laptop Memory CB16GS2666,CB16GS2666,pcpricetracker.in/gen/products/33e63ab273706ee7e05d8261bcac3711,16GB ,pcpricetracker.in/gen/products/33e63ab273706ee7e05d8261bcac3711,pcpricetracker.in/gen/products/33e63ab273706ee7e05d8261bcac3711,2666MHz ,pcpricetracker.in/gen/products/33e63ab273706ee7e05d8261bcac3711
Crucial,Crucial 4GB DDR4 2400MHZ SODIMM Laptop Memory CB4GS2400,CB4GS2400,pcpricetracker.in/gen/products/2787fc5894a25d28075e0d46bd8687cc,4GB ,pcpricetracker.in/gen/products/2787fc5894a25d28075e0d46bd8687cc,pcpricetracker.in/gen/products/2787fc5894a25d28075e0d46bd8687cc,2400MHZ ,pcpricetracker.in/gen/products/2787fc5894a25d28075e0d46bd8687cc
Crucial,Crucial 4GB DDR4 2400 MHz UDIMM RAM CB4GU2400,CB4GU2400,pcpricetracker.in/gen/products/e5c0f764b76850aa6740c5cc543a8005,4GB ,pcpricetracker.in/gen/products/e5c0f764b76850aa6740c5cc543a8005,pcpricetracker.in/gen/products/e5c0f764b76850aa6740c5cc543a8005,2400 MHz ,pcpricetracker.in/gen/products/e5c0f764b76850aa6740c5cc543a8005
Crucial,Crucial 8GB DDR4 2400MHZ SODIMM Laptop Memory CB8GS2400,CB8GS2400,pcpricetracker.in/gen/products/3a5995525089202899de4a56878ba484,8GB ,pcpricetracker.in/gen/products/3a5995525089202899de4a56878ba484,pcpricetracker.in/gen/products/3a5995525089202899de4a56878ba484,2400MHZ ,pcpricetracker.in/gen/products/3a5995525089202899de4a56878ba484
Crucial,Crucial Basics 8GB DDR4 2400MHZ UDIMM Desktop Memory CB8GU2400,CB8GU2400,pcpricetracker.in/gen/products/7b74dd0d84428f8b4c1a5331e7ab7854,8GB ,pcpricetracker.in/gen/products/7b74dd0d84428f8b4c1a5331e7ab7854,pcpricetracker.in/gen/products/7b74dd0d84428f8b4c1a5331e7ab7854,2400MHZ ,pcpricetracker.in/gen/products/7b74dd0d84428f8b4c1a5331e7ab7854
Crucial,Crucial 4GB DDR4 2400 MHz UDIMM RAM CT4G4DFS824A,CT4G4DFS824A,pcpricetracker.in/gen/products/2c6d5c08828d9ea5425a7943bf5e683e,4GB ,pcpricetracker.in/gen/products/2c6d5c08828d9ea5425a7943bf5e683e,pcpricetracker.in/gen/products/2c6d5c08828d9ea5425a7943bf5e683e,2400 MHz ,pcpricetracker.in/gen/products/2c6d5c08828d9ea5425a7943bf5e683e
